Course name,Campus,"Course code","Fee type", Duration,"Prev LSR","Avail INT"
Diploma of Educational Studies (Primary Education),Casuarina or Online,591150,CSP,1F/EqP/D,N/A,N,
Diploma of Educational Studies (Secondary Education),Casuarina or Online,591160,CSP,1F/EqP/D,N/A,N,
Diploma of Educational Studies (Early Childhood Education and Care),Casuarina or Online,591120,CSP,1F/EqP/D,N/A,N,
Diploma of Engineering,Casuarina or Online,591030,CSP,1F/EqP/D,N/A,Y,
Diploma of Exercise and Sport Science,Casuarina or Online,591070,CSP,1F/EqP/D,N/A,Y,
Diploma of Health Science,Casuarina or Online,591050,CSP,1F/EqP/D,N/A,Y,
Diploma of Indigenous Research,Casuarina or Online,591060,CSP,1F/EqP/D,N/A,N,
Diploma of Laws,Waterfront Darwin or Online,591071,CSP,1F/EqP/D,N/A,Y,
Diploma of Network Engineering,Casuarina or Online,591080,CSP,1F/EqP/D,N/A,Y,
Diploma of Psychology,Casuarina or Online,591180,CSP,1F/EqP/D,68.30,Y,
Diploma of Science,Casuarina or Online,591190,CSP,1F/EqP/D,N/A,Y,
Diploma of Social Care,Casuarina or Online,591100,CSP,1F/EqP/D,N/A,Y,
Undergraduate Certificate Foundations of Cybersecurity,Casuarina or Online,593010,CSP,1P/D,N/A,N,
Undergraduate Certificate Foundations of Exercise and Sport Science,Casuarina or Online,593030,CSP,1P/D,N/A,N,
Undergraduate Certificate Introduction to Arts, Social Science and Languages,Casuarina or Online,593000,CSP,.5F/EqP/D,N/A,N,
Undergraduate Certificate Introduction to Biomedical Science,Casuarina or Online,593020,CSP,1P/D,N/A,N,
Undergraduate Certificate Introduction to Construction Management,Casuarina or Online,593100,CSP,1P/D,N/A,N,
Undergraduate Certificate Introduction to Environmental Science,Casuarina or Online,593090,CSP,.5F/EqP/D,N/A,N,
Undergraduate Certificate Introduction to Health Industries,Casuarina or Online,593070,CSP,1P/D,N/A,N,
Undergraduate Certificate Introduction to Mathematics and Physics,Casuarina or Online,593110,CSP,1P/D,N/A,N,
Undergraduate Certificate Introduction to Social and Mental Health Care,Casuarina or Online,593040,CSP,1P/D,N/A,N,
Undergraduate Certificate Introduction to Sustainable Business,Waterfront Darwin or Online,593011,CSP,.5F/EqP/D,N/A,N,
Undergraduate Certificate Introduction to Teacher Education,Online,593052,CSP,.5F/EqP/D,N/A,N,


Associate Degree in Farm Production,Wagga Wagga,215064,CSP,2F,N/A
Bachelor of Accounting,Port Macquarie,212010,CSP,3F,N/A
Bachelor of Accounting,Albury-Wodonga,212011,CSP,3F,66.15
Bachelor of Accounting,Wagga Wagga,212014,CSP,3F,N/A
Bachelor of Accounting,Bathurst,212017,CSP,3F,67.05
Bachelor of Agricultural Business Management,Wagga Wagga,215024,CSP,3F,68.60
